table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,さくら台団地入口,,,さくら台団地入口
stops,stop_name,en,Sakuradaidanchi-iriguchi,,,さくら台団地入口
stops,stop_name,ja-Hrkt,さくらだいだんちいりぐち,,,さくら台団地入口
stops,stop_name,ja,すずかけ公園入口,,,すずかけ公園入口
stops,stop_name,en,Suzukake Park Iriguchi,,,すずかけ公園入口
stops,stop_name,ja-Hrkt,すずかけこうえんいりぐち,,,すずかけ公園入口
stops,stop_name,ja,つるつる温泉,,,つるつる温泉
stops,stop_name,en,Tsurutsuru Hot Spring,,,つるつる温泉
stops,stop_name,ja-Hrkt,つるつるおんせん,,,つるつる温泉
stops,stop_name,ja,とうげん橋,,,とうげん橋
stops,stop_name,en,Togen-kyo Bridge,,,とうげん橋
stops,stop_name,ja-Hrkt,とうげんきょう,,,とうげん橋
stops,stop_name,ja,とちのき公園,,,とちのき公園
stops,stop_name,en,Tochinoki  Park,,,とちのき公園
stops,stop_name,ja-Hrkt,とちのきこうえん,,,とちのき公園
stops,stop_name,ja,のぼり川,,,のぼり川
stops,stop_name,en,Noborigawa,,,のぼり川
stops,stop_name,ja-Hrkt,のぼりがわ,,,のぼり川
stops,stop_name,ja,ふれあい立体西,,,ふれあい立体西
stops,stop_name,en,hureairitai,,,ふれあい立体西
stops,stop_name,ja-Hrkt,ふれあいりったいにし,,,ふれあい立体西
stops,stop_name,ja,ほたる公園,,,ほたる公園
stops,stop_name,en,Hotaru Park,,,ほたる公園
stops,stop_name,ja-Hrkt,ほたるこうえん,,,ほたる公園
stops,stop_name,ja,みずき通り,,,みずき通り
stops,stop_name,en,Mizuki street,,,みずき通り
stops,stop_name,ja-Hrkt,みずきどおり,,,みずき通り
stops,stop_name,ja,みつい台,,,みつい台
stops,stop_name,en,Mitsuidai,,,みつい台
stops,stop_name,ja-Hrkt,みついだい,,,みつい台
stops,stop_name,ja,やすらぎの里,,,やすらぎの里
stops,stop_name,en,Yasuraginosato,,,やすらぎの里
stops,stop_name,ja-Hrkt,やすらぎのさと,,,やすらぎの里
stops,stop_name,ja,イオンモール日の出,,,イオンモール日の出
stops,stop_name,en,Aeon Mall Hinode Shopping Mall,,,イオンモール日の出
stops,stop_name,ja-Hrkt,いおんもーるひので,,,イオンモール日の出
stops,stop_name,ja,カインズ八王子長房店前,,,カインズ八王子長房店前
stops,stop_name,en,CAINZ Hachioji Nagafusa Store,,,カインズ八王子長房店前
stops,stop_name,ja-Hrkt,かいんずはちおうじながふさてんまえ,,,カインズ八王子長房店前
stops,stop_name,ja,グリーンタウン入口,,,グリーンタウン入口
